date,472E37C6,472CB426,472E8448,472CF72C,472E112A,47E3903C,100021,100059,100065,100088,114034,100081,114035,114038,114040,114041,114042,114047,114050,114093,115037,115038,115033,115035,115046,115047,115051,115053,115138,115140,116009,116026,116075,116027,270200,116029,116030,116060
2019-12-01,9.1,0.0,3.4,6.6,1.9,0.6,0.0,0.0,0.0,8.9,16.8,0.6,26.5,14.7,7.2,21.5,0.6,7.1,0.0,5.0,19.2,0.0,4.2,5.6,9.0,0.0,9.4,0.0,7.4,3.1,0.0,0.0,0.0,7.0,7.9,0.0,0.0,0.0
2019-12-02,10.1,0.0,0.6000000000000001,3.8,2.7,1.0,2.0,0.0,10.4,0.8,12.3,1.4,5.3,9.0,6.2,3.9,0.0,8.3,6.4,1.8,4.5,9.7,2.9,4.0,5.2,8.0,0.0,11.4,4.3,1.0,20.2,0.0,0.0,1.6,8.6,0.0,7.8,6.5
2019-12-03,0.1,9.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.8,2.6,0.1,0.0,0.8,3.0,0.3,1.5,7.0,8.2,2.9,0.0,0.0,0.9,0.0,1.8,7.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
2019-12-04,1.1,2.7,0.0,0.1,2.5,0.0,0.0,0.0,1.6,3.7,2.5,0.0,9.3,6.3,10.2,15.0,2.4,22.2,5.0,8.5,0.0,0.0,0.0,2.1,8.8,0.0,0.0,2.3,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2.7,7.8,0.0
2019-12-05,1.3,13.9,24.3,2.6,0.0,4.1,1.3,1.2,13.2,10.6,1.0,2.0,0.0,2.5,0.0,0.0,12.4,9.3,12.2,0.6,4.3,21.2,0.3,1.9,5.6,3.0,5.6,3.2,2.5,15.0,10.8,2.2,0.0,0.0,6.1,1.4,3.8,5.2
2019-12-06,2.6,2.1,1.9,8.200000000000001,0.7,0.3,1.3,1.5,9.2,0.6,0.0,6.8,0.0,3.4,12.2,8.6,7.6,3.6,31.9,11.7,0.9,17.2,11.1,3.4,11.4,0.0,18.8,5.1,7.8,3.9,12.2,0.8,10.5,1.0,0.3,1.1,13.8,14.0
2019-12-07,0.2,0.0,2.9,15.7,0.1,1.9,2.2,0.1,1.4,5.4,1.1,11.2,6.1,4.5,10.4,,0.8,0.4,0.0,0.2,0.5,0.0,1.5,0.0,4.8,3.8,1.5,2.2,17.3,4.9,11.6,0.0,9.8,0.6,0.6,2.3,0.0,0.0
2019-12-08,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-09,5.2,0.4,0.0,0.0,0.0,0.0,2.0,0.0,1.5,0.0,3.0,0.7,0.0,0.0,0.0,0.0,16.2,0.4,6.3,1.0,0.0,1.3,0.0,0.0,1.6,0.0,0.0,0.0,0.0,6.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-10,0.0,2.3,0.3,0.0,1.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.3,4.7,1.2,1.9,0.0,0.9,0.5,0.0,0.0,0.9,0.0,0.0,13.6,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1.8,0.0,0.6,0.0,2.0
2019-12-11,0.0,0.0,0.8,0.0,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,8.7,4.2,0.7,1.0,0.0,0.0,0.0,0.5,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-12,0.1,0.2,7.6,1.5,0.6000000000000001,4.9,8.3,3.4,0.8,0.0,5.0,0.1,4.1,0.0,0.0,0.5,0.0,0.4,3.8,1.1,0.0,2.8,4.5,0.0,2.8,0.0,24.5,0.0,1.4,8.4,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
2019-12-13,0.0,8.800000000000002,1.4,0.2,13.9,1.4,0.1,23.9,5.5,8.4,0.0,0.1,0.0,0.3,2.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.2,0.0,4.0,11.8,0.0,0.0,0.5,0.0,0.0,6.5,13.7,0.0,0.0,7.4,11.0
2019-12-14,0.0,1.0,4.1,0.2,0.2,0.0,6.4,12.2,3.4,2.1,2.2,0.0,1.8,0.0,0.0,0.9,11.0,2.4,5.8,1.7,5.9,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,11.0,0.0,0.0,0.0
2019-12-15,3.4,3.9,0.1,0.0,1.0,0.1,0.9,0.1,0.0,4.7,22.2,0.1,17.6,15.8,2.4,10.4,2.0,12.5,0.0,3.0,4.8,0.0,5.0,0.0,3.0,1.0,1.2,1.1,0.0,0.0,0.0,0.4,8.6,1.1,0.6,1.2,0.0,0.0
2019-12-16,6.2,0.3,0.0,4.300000000000002,2.7,0.0,1.3,0.0,0.0,1.8,6.5,2.5,0.7,0.0,0.0,15.4,0.0,2.8,3.5,1.5,0.0,3.0,10.7,0.0,1.2,0.0,13.2,2.3,5.8,0.0,0.0,0.0,7.8,4.5,0.0,4.3,3.8,5.3
2019-12-17,0.0,14.2,0.4,0.0,8.7,0.0,4.4,0.0,0.0,0.0,3.9,0.8,1.8,0.1,0.0,0.0,0.0,0.0,0.0,2.1,0.0,4.6,0.0,0.5,27.6,0.0,0.1,2.1,0.0,1.4,4.2,0.0,6.6,0.2,0.0,3.7,5.6,0.0
2019-12-18,0.0,2.1,2.2,0.0,0.0,2.0,1.0,0.2,0.0,0.6,0.0,0.5,0.0,0.8,13.4,0.4,2.4,0.0,5.9,0.0,0.0,4.9,10.8,0.0,2.6,0.0,1.1,1.9,0.0,6.5,0.0,7.8,0.0,0.0,0.1,1.2,8.4,5.0
2019-12-19,5.299999999999999,5.7,7.9,0.0,0.0,0.0,0.2,1.0,1.5,2.9,8.3,1.7,7.3,3.3,4.8,4.2,10.0,8.9,0.8,3.3,6.5,14.4,5.9,1.5,12.0,0.0,7.5,18.6,0.1,11.9,11.4,3.8,0.0,0.0,1.0,2.6,4.4,6.5
2019-12-20,4.500000000000001,1.0,0.0,1.4,1.7000000000000002,0.1,3.9,0.0,20.4,6.0,2.5,7.6,22.7,6.9,10.8,,9.8,11.5,6.9,7.1,0.0,0.0,3.8,11.6,18.2,3.2,2.0,32.4,1.5,2.7,13.8,0.6,6.8,6.1,4.5,0.0,2.8,2.0
2019-12-21,0.1,0.0,2.4000000000000004,0.0,0.6,8.399999999999999,6.0,0.1,6.5,0.0,0.0,0.8,1.7,2.3,0.0,0.0,0.0,0.1,2.6,0.0,4.8,6.2,0.0,0.0,1.2,0.0,0.0,3.4,0.0,0.6,0.0,1.8,0.0,1.5,0.4,0.8,3.0,4.2
2019-12-22,1.9,1.0,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.6,0.0,1.9,0.0,0.0,0.0,1.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0
2019-12-23,0.0,6.0,9.8,0.0,0.0,1.2,0.0,5.9,0.0,1.1,0.0,5.8,0.0,0.0,0.0,1.9,4.0,1.8,0.9,2.7,2.2,0.0,0.0,0.0,0.0,0.0,11.9,1.3,0.0,3.1,0.0,0.0,4.6,0.0,0.0,0.0,0.0,5.8
2019-12-24,0.5,0.0,1.0,0.0,0.0,13.9,0.0,6.1,0.0,0.0,1.8,5.8,0.0,0.0,0.0,0.0,0.8,0.0,1.0,19.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.7,0.0,2.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-25,2.4,0.0,2.3,0.0,3.3,8.799999999999997,0.0,9.5,0.0,0.0,4.4,1.6,10.3,0.1,1.8,0.0,0.0,3.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0
2019-12-26,7.999999999999999,2.9000000000000004,1.6,14.7,25.399999999999995,4.799999999999999,11.1,5.4,39.2,10.4,11.4,19.3,14.5,2.5,4.2,2.7,21.4,1.4,6.3,8.2,27.8,21.8,11.6,21.2,14.4,24.6,0.0,25.2,15.2,3.7,14.2,9.6,19.4,30.8,21.2,12.6,0.0,13.5
2019-12-27,13.0,1.0,1.5,0.0,0.5,0.0,0.0,0.0,17.3,0.2,7.7,0.3,2.9,5.7,6.8,0.0,0.0,0.3,9.3,3.4,3.5,5.4,4.3,0.0,0.0,0.0,1.6,1.0,0.1,0.2,1.2,0.0,3.4,2.2,2.9,1.9,4.8,4.8
2019-12-28,1.1,0.4,0.0,7.199999999999998,0.0,0.1,0.0,0.0,0.0,0.4,2.8,0.0,1.1,0.0,1.2,0.0,3.0,1.2,1.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,2.8,7.9,0.6,0.8,0.0,0.0,0.0,0.0,2.1,0.0,2.5
2019-12-29,1.1,2.8000000000000003,12.7,0.0,0.0,0.1,0.0,0.0,2.1,,0.0,3.3,0.8,1.2,1.6,0.0,4.0,5.6,9.5,0.0,1.6,7.8,15.5,0.0,1.0,0.0,12.9,0.5,0.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
2019-12-30,11.2,0.5,0.0,0.0,0.0,0.1,0.3,0.0,30.2,,4.5,0.0,0.0,0.8,5.4,0.0,0.0,0.0,3.5,0.0,0.0,12.0,5.9,0.0,0.0,0.0,,1.2,0.0,0.0,1.4,1.2,0.0,0.2,0.0,0.0,6.4,34.0
2019-12-31,0.3,14.3,3.7,1.3,11.9,4.7,0.0,9.5,9.2,,7.3,0.4,1.3,4.2,19.6,0.0,0.0,1.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.8,0.0,0.6,0.0,20.6,0.0,5.2,0.0,5.4,0.0,0.0
2020-01-01,5.3,6.0,19.500000000000007,4.3,11.199999999999998,12.499999999999998,10.8,20.0,12.1,22.7,12.0,15.7,7.3,3.5,10.2,10.1,3.6,2.3,13.8,5.5,0.8,7.2,10.3,14.9,2.8,1.8,13.7,1.8,5.3,26.7,43.8,10.2,8.4,10.3,1.6,18.2,12.6,6.5
2020-01-02,22.4,4.8,3.4,2.7,3.0,8.299999999999999,8.1,1.7,5.6,11.2,15.9,7.6,23.7,15.7,3.4,2.7,13.8,9.7,3.7,4.9,1.6,0.0,1.7,16.6,12.2,1.2,3.7,5.0,2.8,2.9,0.0,7.2,6.8,3.9,1.0,3.7,11.0,3.5
2020-01-03,14.2,6.2,21.4,3.8,3.1,13.3,1.4,21.7,3.6,,14.7,4.0,13.3,4.4,5.6,0.9,1.0,2.7,7.6,6.2,9.0,19.7,3.0,0.5,1.4,2.2,0.5,6.7,4.0,20.8,3.8,13.0,0.0,0.8,0.0,1.2,12.2,3.5
2020-01-04,2.4,0.5,5.6000000000000005,5.8,0.2,5.0,9.7,0.1,15.4,1.0,21.8,8.9,25.5,9.4,15.2,17.5,7.0,26.6,14.6,16.4,32.9,13.8,2.2,21.1,23.0,10.4,0.0,5.2,4.6,6.3,8.2,5.4,7.6,4.4,15.0,18.5,10.8,26.0
2020-01-05,0.0,0.9,0.0,5.8,5.8,0.1,1.5,0.0,0.0,1.7,0.5,13.9,11.6,20.2,0.0,32.9,14.6,9.5,23.8,11.1,9.5,7.4,2.0,7.7,14.0,2.2,0.0,18.0,5.6,0.0,5.6,0.0,0.0,5.9,3.0,0.9,0.0,0.0
2020-01-06,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.4,4.7,0.6,0.0,0.4,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2020-01-07,2.2,0.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,1.6,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.4,0.1,0.7,0.1,0.0,0.2,1.1,0.0,0.0,0.3,2.0,4.4,0.7,1.4,13.8,12.3,15.8,7.0,3.5,5.0,6.1,0.0,1.1,1.0,2.4,0.0,0.0,1.3,0.3,0.9,15.4,0.0,0.0,0.0,0.0,0.0,4.8,2.5
2020-01-11,2.3000000000000003,4.499999999999999,1.0,1.2000000000000002,10.0,3.4000000000000004,13.0,0.4,17.4,19.4,6.5,2.4,0.0,8.2,4.2,5.1,12.2,0.2,3.6,1.3,2.0,29.6,1.2,6.1,4.8,4.2,0.0,11.6,1.0,0.6,0.0,13.2,0.0,9.7,4.5,2.3,0.0,0.0
2020-01-12,0.6,3.6,0.0,0.0,0.30000000000000004,0.1,3.5,4.1,2.6,3.6,1.1,0.5,11.2,9.1,0.6,0.3,6.0,1.4,1.8,0.5,1.5,0.4,1.2,3.2,0.0,0.0,0.0,1.6,0.3,0.0,14.6,5.2,17.3,1.7,0.0,7.0,6.8,0.0
2020-01-13,1.6,9.5,5.9,0.0,11.1,13.599999999999998,9.3,13.0,6.9,3.2,12.2,1.4,3.7,4.3,1.8,1.3,4.8,8.2,0.0,2.3,1.9,5.5,0.0,2.5,5.0,5.2,3.0,5.4,0.1,4.8,8.8,6.4,0.0,14.9,9.2,13.9,0.0,0.0
2020-01-14,1.7000000000000002,23.4,10.9,0.4,13.0,3.4000000000000012,10.7,4.8,0.0,14.2,10.6,1.0,9.0,3.3,8.4,0.6,5.0,4.3,0.0,2.2,1.4,7.7,19.6,1.5,1.2,1.2,3.4,1.8,0.5,6.4,4.6,5.2,0.0,15.1,0.0,13.6,0.0,31.0
