Unnamed: 0,est,alt,lon,lat,t2m,t2m_EXP0,t2m_EXP1,t2m_EXP2,t2m_EXP3,t2m_EXP4,t2m_EXP5,t2m_EXP6,t2m_EXP7,t2m_EXP8,t2m_EXP9,t2m_EXP10
114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,5.408888888888888,3.9575345516204834,4.137207984924316,4.183762550354004,4.397315502166748,4.016632556915283,4.082818508148193,3.785968780517578,3.5335936546325684,3.531074047088623,3.3877525329589844,3.319281816482544
115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222225,10.743333333333327,10.292928695678711,10.566585540771484,10.41071891784668,10.633560180664062,10.94394588470459,10.774345397949219,10.362730026245117,10.37424087524414,10.484699249267578,10.191287994384766,10.431939125061035
114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,11.162637362637362,10.29967975616455,10.387375831604004,10.553478240966797,10.64719009399414,10.122014999389648,10.131081581115723,9.590946197509766,9.484428405761719,9.665192604064941,9.569352149963379,9.535741806030273
114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,11.541573033707865,10.971546173095703,10.934762954711914,11.1551513671875,11.234124183654785,10.686189651489258,11.539588928222656,10.78348159790039,10.977213859558105,10.998311996459961,11.053643226623535,10.859051704406738
115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,11.481868131868133,10.503000259399414,10.813605308532715,10.591546058654785,11.049651145935059,10.69921588897705,10.711471557617188,10.338861465454102,10.31047248840332,10.50284194946289,10.062286376953125,10.439722061157227
100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,10.358241758241755,10.17239761352539,10.461919784545898,10.229893684387207,10.540559768676758,10.410284042358398,10.396360397338867,10.154129981994629,10.174361228942871,10.275440216064453,9.859333992004395,10.15318775177002
115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,7.145930232558138,5.922418594360352,6.100069999694824,6.207926273345947,6.287838935852051,5.941546440124512,6.132870674133301,5.970128536224365,5.643857479095459,5.882639408111572,5.615592002868652,5.77082633972168
115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,10.245054945054944,9.572904586791992,10.237516403198242,9.75511646270752,10.273345947265625,10.32371711730957,10.32785415649414,10.01618480682373,9.916415214538574,10.172123908996582,9.702349662780762,10.066781997680664
115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.388097222222221,10.439560439560436,9.72749137878418,10.108712196350098,9.734796524047852,10.048328399658203,10.250469207763672,10.228936195373535,9.969698905944824,9.964594841003418,10.075783729553223,9.773214340209961,9.945984840393066
100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,12.716091954022989,9.213180541992188,9.596517562866211,9.226837158203125,9.656477928161621,9.506627082824707,9.575301170349121,9.295766830444336,9.436897277832031,9.411433219909668,9.232295989990234,9.390578269958496
116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,11.105555555555561,10.51594066619873,10.595181465148926,10.672440528869629,10.78096866607666,10.583212852478027,10.582795143127441,10.22126579284668,10.166300773620605,10.389528274536133,9.906593322753906,10.24866771697998
116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,11.216483516483517,10.776981353759766,11.026124954223633,11.03217887878418,11.224116325378418,11.30968189239502,11.367111206054688,11.022780418395996,10.960699081420898,11.03715705871582,11.045622825622559,11.00066089630127
115138,JULIACA,3838.0,-70.20778333333334,-15.44415,11.807692307692303,10.884093284606934,11.094785690307617,10.99204158782959,11.166936874389648,11.059966087341309,11.089395523071289,10.83169174194336,10.780695915222168,10.839465141296387,10.365610122680664,10.808849334716797
100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333333,10.527472527472527,10.756733894348145,10.870539665222168,10.847898483276367,10.948168754577637,10.787165641784668,10.830948829650879,10.456018447875977,10.325669288635254,10.49225902557373,10.077800750732422,10.447092056274414
100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,11.258139534883725,10.35267162322998,10.411619186401367,10.63527774810791,10.710064888000488,11.05797290802002,11.025622367858887,10.697463035583496,10.77548885345459,10.848655700683594,10.368316650390625,10.742609977722168
115051,MAсZO,3931.0,-70.3395,-15.799444444444443,11.121111111111114,10.318718910217285,10.381060600280762,10.471996307373047,10.575425148010254,10.327934265136719,10.516546249389648,10.22179126739502,10.019638061523438,10.325470924377441,9.859809875488281,10.275042533874512
116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,9.79230769230769,10.015582084655762,10.196623802185059,10.042972564697266,10.250418663024902,10.131795883178711,10.182536125183105,9.741472244262695,9.668658256530762,9.874810218811035,9.737786293029785,9.607922554016113
114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,10.902247191011236,9.632853507995605,9.838257789611816,9.793100357055664,10.05199146270752,9.78625202178955,9.84819507598877,9.33022403717041,9.05497932434082,9.305441856384277,9.225533485412598,9.221564292907715
116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,11.024175824175828,10.40935230255127,10.933330535888672,10.244751930236816,10.846546173095703,10.827518463134766,10.752562522888184,10.351631164550781,10.290389060974121,10.392723083496094,10.262428283691406,10.157389640808105
114040,PROGRESO,3925.0,-70.36780555555555,-14.671694444444444,10.939560439560445,9.925777435302734,10.013898849487305,10.226716041564941,10.397787094116211,9.69074535369873,9.79288387298584,9.219969749450684,9.066631317138672,9.295510292053223,9.271015167236328,9.124507904052734
115046,PUCARA,3877.0,-70.36663888888889,-15.045666666666667,11.204395604395602,10.037193298339844,9.895416259765625,10.117478370666504,9.90200424194336,9.782347679138184,9.795586585998535,9.301462173461914,9.272916793823242,9.347590446472168,9.296426773071289,9.265122413635254
114093,PUTINA,3861.0,-69.87569444444443,-14.921,11.066483516483512,10.487579345703125,10.779932022094727,10.622729301452637,10.90487003326416,10.737419128417969,10.780641555786133,10.199091911315918,10.156827926635742,10.31559944152832,10.10770320892334,10.228809356689453
115140,SANTA_LUCIA,4045.0,-70.5992722222222,-15.694075,10.304545454545453,8.25682258605957,8.582257270812988,8.28180980682373,8.637439727783203,8.395681381225586,8.41967487335205,8.226875305175781,8.115074157714844,8.28018569946289,7.650893688201904,8.21528434753418
116030,TAHUACO_-_YUNGUYO,3888.0,-69.07472222222222,-16.307833333333335,10.134883720930233,10.648214340209961,10.671996116638184,10.67525863647461,10.7493257522583,10.73299503326416,10.754585266113281,10.427629470825195,10.402107238769531,10.423397064208984,10.355324745178223,10.351103782653809
115047,TARACO,3828.0,-69.97247222222222,-15.311666666666667,11.15164835164835,10.7237548828125,10.87714958190918,10.900300025939941,10.985570907592773,10.880775451660156,11.016364097595215,10.725930213928223,10.627411842346191,10.793827056884766,10.369572639465332,10.732307434082031
472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,10.650097547380156,10.612077713012695,10.705437660217285,10.741129875183105,10.872578620910645,10.69905948638916,10.706040382385254,10.312402725219727,10.24792194366455,10.475299835205078,9.992745399475098,10.343277931213379
472E4156,ILLPA,3827.0,-70.079875,-15.687255555555556,11.915488569723475,10.659689903259277,10.788978576660156,10.7775239944458,10.950156211853027,10.872369766235352,10.943584442138672,10.69071102142334,10.653706550598145,10.749983787536621,10.259326934814453,10.690655708312988
472CF72C,JULIACA,3826.0,-70.17122222222223,-15.471055555555555,10.538598901098904,11.221718788146973,11.339393615722656,11.347784042358398,11.409337043762207,11.923582077026367,11.954252243041992,11.497344017028809,11.762262344360352,11.65884017944336,11.327211380004883,11.550459861755371
472CB426,LARAQUERI,3928.0,-70.04588888888888,-16.135916666666667,9.272710622710619,10.701687812805176,10.55970573425293,10.90806770324707,10.823193550109863,10.369139671325684,10.420180320739746,9.94257926940918,9.670211791992188,10.003018379211426,9.649101257324219,9.893511772155762
472E37C6,PALCA,4073.0,-70.59315,-15.235866666666665,8.729441391941387,9.105118751525879,9.453217506408691,9.153205871582031,9.513151168823242,9.19882583618164,9.253033638000488,8.97363567352295,8.807658195495605,8.90573787689209,8.668853759765625,8.942608833312988
472DD33A,PUNO,3812.0,-70.01208333333334,-15.82625,10.977854753941708,9.996724128723145,9.790739059448242,10.082978248596191,9.754776954650879,10.072072982788086,10.925219535827637,10.483092308044434,10.89040470123291,10.746124267578125,10.567145347595215,10.599774360656738
7boli0,Chijipina,3832.0,-68.69388900000007,-15.996943999999989,12.123255813953488,9.547789573669434,9.649478912353516,9.673686027526855,9.747411727905273,9.611377716064453,9.647355079650879,9.44721794128418,9.357673645019531,9.388577461242676,9.319976806640625,9.383965492248535
7boli1,Belen,3828.0,-68.71207200000008,-16.019295000000042,10.460465116279067,9.4779052734375,9.61643123626709,9.596036911010742,9.680096626281738,9.63525104522705,9.630867004394531,9.447949409484863,9.420915603637695,9.3729248046875,9.31998348236084,9.356927871704102
